recipeName,recipeNameNL,recipeID,nIngredients,recipeIngredients,recipeVector,,,,,,,
Stewed zucchini,Gestoofde courgette,1,5,"courgette, basilicum, knoflook, olijfolie, tomaat","[0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]",,,"[0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,andere AI groepje
Butter chicken,Butter chicken,11,8,"kipfilet, slagroom, tomatenblokjes, Griekse yoghurt, zonnebloemolie, roomboter, knoflook, ui","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1]",,,,,,,https://www.eefkooktzo.nl/butter-chicken/
"Chickpea bowl with sweet potato, quinoa and spinach","Kik­ker­erw­ten­bowl met zoe­te aard­ap­pel, quinoa en spi­na­zie",12,7,"kikkererwten, zoete aardappel, olijfolie, quinoa, spinazie, rode peper, Griekse yoghurt","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1193431/kikkererwtenbowl-met-zoete-aardappel-quinoa-en-spinazie
Lasagna,Lasagne,13,9,"ui, knoflook, gehakt, gepelde tomaten in blik, roomboter, tarwebloem, halfvolle melk, lasagnebladen, geraspte kaas","[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R443478/italiaanse-lasagne
Risotto with ham,Risotto met ham,14,7,"ui, olijfolie, risottorijst, ham, diepvries tuinerwten, roomboter, parmezaanse kaas","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R689136/risotto-met-ham
Oven dish with baby potatoes and broccoli,Ovenschotel met krieltjes en broccoli,15,5,"broccoli, krieltjes, cherrytomaten, pastasaus, geraspte kaas","0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1194408/ovenschotel-met-krieltjes-en-broccoli
Vegetarian chicken teriyaki with spinach and rice,Ve­ga te­riy­a­ki-kip met spi­na­zie & rijst,16,5,"rijst, rode ui, olijfolie, stukjes als van kip, spinazie","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1194232/vega-teriyaki-kip-met-spinazie-en-rijst
Quiche with salmon,Zalmquiche,17,8,"bladerdeeg, ui, diepvries zalmfilet, olijfolie, diepvries tuinerwten, ei, slagroom, geraspte kaas","[0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R804350/zalmquiche
Indian vegetable curry with naan,Indiase groentecurry met naanbrood,18,9,"rode ui, zonnebloemolie, bloemkool, pompoen, kikkererwten, gepelde tomaten in blik, tarwebloem, Griekse yoghurt, olijfolie","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1055460/indiase-groentecurry
Moussaka with sweet potato,Moussaka met zoete aardappel,19,12,"zoete aardappel, ui, knoflook, olijfolie, gehakt, tomatenblokjes, aubergine, roomboter, tarwebloem, halfvolle melk, parmezaanse kaas, ei","[0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1192926/moussaka-met-zoete-aardappel
Tagliatelle dish with spinach and cherry tomatoes,Ta­gli­a­tel­le­scho­tel met spi­na­zie en cher­ry­to­ma­ten,20,8,"ui, cherrytomaten, olijfolie, spekreepjes, spinazie, geraspte kaas, tagliatelle, slagroom","[0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R644180/tagliatelleschotel-met-spinazie-en-cherrytomaten
Ratatouille,Ratatouille,21,7,"ui, knoflook, aubergine, courgette, rode paprika, olijfolie, tomatenblokjes","[0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1149256/ratatouille
Stir-fried tofu with bell pepper and broccoli,Roer­ge­bak­ken tofu met pa­pri­ka en broc­co­li,22,6,"broccoli, rode peper, tofu, olijfolie, knoflook, rode paprika","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R593168/roergebakken-tofu-met-paprika-en-broccoli
Risotto bianco with cauliflower,Risotto bianco met bloemkool,23,7,"olijfolie, ui, knoflook, risottorijst, roomboter, Parmezaanse kaas, bloemkool","[0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R668510/risotto-bianco-met-bloemkool
Fishstew with pumpkin,Vis­stoof met pom­poen,24,6,"ui, zonnebloemolie, pompoen,linzen, tomatenblokjes, kabeljauwfilet","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1189370/visstoof-met-pompoen
Chicken with bell pepper and baby potatoes,Kip met paprika en krieltjes,25,5,"kipfilet, olijfolie, krieltjes, rode ui, rode paprika","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,
Hawaii rice,Hawai rijst,26,7,"rijst, rode paprika, ui, ham, ananas, tomatenblokjes, geraspte kaas","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0]",,,,,,,
Salmon with basil and baby potatoes,Zalm met basilicum en krieltjes,27,6,"olijfolie, krieltjes, broccoli, slagroom, basilicum, zalmfilet","[0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R401268/zalm-met-basilicum-en-krieltjes
Lentil curry with cod,Linzencurry met vis,28,7,"rijst, kabeljauwfilet, zonnebloemolie, ui, tomaat, spinazie, linzen","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1]",,,,,,,https://www.ah.nl/allerhande/recept/R-R547880/linzencurry-met-vis
"Tagliatelle with egg, bacon and roasted cauliflower","Tagliatelle met ei, spekreepjes & geroosterde bloemkool",29,6,"bloemkool, olijfolie, ei, spekreepjes, tagliatelle, Parmezaanse kaas","[0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1191720/spaghetti-met-ei-vega-spekreepjes-en-geroosterde-bloemkool
Oven-vegetables with lentils,Ovengroenten met linzen,30,5,"zonnebloemolie, zoete aardappel, rode paprika, broccoli, linzen","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1194607/ovengroente-met-linzen-avocado-en-tahinisaus
Traybake chicken tandoori with chickpeas and tomato,Traybake kip tandoori met kikkererwten en tomaat,31,4,"kikkererwten, broccoli, kip, tomaten","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1194481/traybake-kip-tandoori-met-kikkererwten-en-tomaat
Quiche with cauliflower and broccoli,Hartige taart met broccoli en bloemkool,32,6,"bladerdeeg, bloemkool, broccoli, spekreepjes, ei, geraspte kaas","[0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1194233/hartige-taart-met-broccoli-en-bloemkool
Pizza hawai,Pizza hawai,33,6,"tomatensaus, ananas, ham, geraspte kaas, tarwebloem, olijfolie","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.italieplein.nl/pizzadeeg-maken-zonder-gist/
Creamy tagliatelle with peas and salmon,Romige tagliatelle met erwten en zalm,34,6,"tagliatelle, erwten, ui, slagroom, olijfolie, zalm","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1193580/romige-spaghetti-met-doperwten-en-zalm
Shakshuka,Shakshuka,35,5,"rode ui, olijfolie, rode paprika, tomatenblokjes, ei","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1190626/shakshuka
Vegetarian curry with green vegetables and quinoa,Vegacurry met groene groenten en quinoa,36,6,"quinoa, olijfolie, stukjes als van kip, bloemkool, broccoli, spinazie","[0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,https://www.ah.nl/allerhande/recept/R-R1190624/vegacurry-tandoori-met-groene-groenten-en-quinoa