index,ingredientNL,ingredient,inRecipe,category,ingredientImage,inSeason,isPlantbased,,
0,ananas,pineapple,26,vegetables and fruit,,"winter, spring, summer, fall",1,,
1,aubergine,eggplant,"19, 20",vegetables and fruit,,"winter, spring, summer, fall",1,,
2,basilicum,basil,"1, 27",vegetables and fruit,,"winter, spring, summer, fall",1,,
3,bladerdeeg,puff pastry,17,"bread, grains and potatoes",,,0,,
4,bloemkool,cauliflower,"18, 23, 29",vegetables and fruit,,"summer, fall",1,,
5,boerenkool,kale,,vegetables and fruit,,"winter, fall",1,,
6,bosui,spring onion,,vegetables and fruit,,"summer, fall",1,,
7,broccoli,broccoli,"15, 22, 27",vegetables and fruit,,"summer, fall",1,,
8,cashew noten,cashew nuts,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
9,cherrytomaten,cherry tomatoes,"15, 20",vegetables and fruit,,"spring, summer",1,,
10,courgette,zucchini,"1, 20",vegetables and fruit,,summer,1,,
11,ei,egg,"17, 19, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
12,gehakt,minced meat,"13, 19","fish, legumes, meat, egg, nuts, dairy",,,0,,
13,gepelde tomaten in blik,canned peeled tomatoes,"13, 18",vegetables and fruit,,,1,,
14,geraspte kaas,grated cheese,"13, 15, 17, 20, 26","fish, legumes, meat, egg, nuts, dairy",,,0,,
15,Griekse yoghurt,Greek yoghurt,"11, 12, 18","fish, legumes, meat, egg, nuts, dairy",,,0,,
16,halfvolle melk,skim milk,"13, 19","fish, legumes, meat, egg, nuts, dairy",,,0,,
17,ham,ham,"14, 26","fish, legumes, meat, egg, nuts, dairy",,,0,,
18,havermelk,oat drink,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
19,kabeljauwfilet,codfish,"24, 28","fish, legumes, meat, egg, nuts, dairy",,,0,,
20,kidneybonen,kidney beans,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
21,kikkererwten,chickpeas,"12, 18","fish, legumes, meat, egg, nuts, dairy",,,1,,
22,kipfilet,chicken breast,"11, 25","fish, legumes, meat, egg, nuts, dairy",,,0,,
23,knoflook,garlic,"1, 11, 13, 14, 19, 20, 22, 23",vegetables and fruit,,"winter, spring, summer, fall",1,,
24,krieltjes,baby potatoes,"15, 25, 27","bread, grains and potatoes",,,1,,
25,lasagnebladen,lasagna sheets,13,"bread, grains and potatoes",,,1,,
26,linzen,lentils,"24, 28","fish, legumes, meat, egg, nuts, dairy",,,1,,
27,margarine,margarine,,fats,,,1,,
28,olijfolie,olive oil,"1, 12, 16, 17, 18, 19, 20, 21,22, 23, 25, 27, 29",fats,,,1,,
29,paksoi,bok choi,,vegetables and fruit,,"spring, summer, fall",1,,
30,Parmezaanse kaas,Parmesan cheese,"14, 19, 23, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
31,pastasaus,pasta sauce,15,overige,,,1,,
32,pompoen,pumpkin,"18, 27",vegetables and fruit,,"winter, spring",1,,
33,quinoa,quinoa,12,"bread, grains and potatoes",,,1,,
34,rijst,rice,"16, 26, 28","bread, grains and potatoes",,,1,,
35,risottorijst,risotto rice,"14, 23","bread, grains and potatoes",,,1,,
36,rode biet,beetroot,,vegetables and fruit,,"winter, spring, summer, fall",1,,
37,rode paprika,red bell pepper,"21, 22, 25, 26",vegetables and fruit,,"spring, summer",1,,
38,rode peper,red pepper,"12, 22",vegetables and fruit,,,1,,
39,rode ui,red onion,"16, 18, 25",vegetables and fruit,,"winter, spring, summer, fall",1,,
40,roomboter,butter,"11, 13, 14, 19, 23",fats,,,0,,
41,slagroom,whipped cream,"11, 17, 20, 27","fish, legumes, meat, egg, nuts, dairy",,,0,,
42,soja yoghurt,soy yoghurt,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
43,spekreepjes,bacon,"20, 29","fish, legumes, meat, egg, nuts, dairy",,,0,,
44,spinazie,spinach,"12, 16, 20, 28",vegetables and fruit,,summer,1,,
45,spruitjes,Brussels sprouts,,vegetables and fruit,,"fall, winter",1,,
46,stukjes als van kip,vegetarian chicken,16,"fish, legumes, meat, egg, nuts, dairy",,,1,,https://www.ah.nl/producten/product/wi437493/ah-stukjes-als-van-kip
47,tagliatelle,tagliatelle,"20, 29","bread, grains and potatoes",,,1,,
48,tarwebloem,wheat flour,"13, 18, 19","bread, grains and potatoes",,,1,,
49,tofu,tofu,22,"fish, legumes, meat, egg, nuts, dairy",,,1,,
50,tomaat,tomato,"1, 28",vegetables and fruit,,"spring, summer, fall",1,,
51,tomatenblokjes,diced tomatoes,"11, 19, 21, 24, 26",vegetables and fruit,,"spring, summer, fall",1,,
52,tuinerwten,peas,"14, 17",vegetables and fruit,,,1,,
53,ui,onion,"11, 13, 14, 17, 19, 20, 21, 23, 24, 26, 28",vegetables and fruit,,"winter, spring, summer, fall",1,,
54,vegetarische zalmfilet,vegetarian salmon,,"fish, legumes, meat, egg, nuts, dairy",,,1,,
55,witte kool,white cabbage,,vegetables and fruit,,"winter, spring, summer, fall",1,,
56,wortel,carrot,,vegetables and fruit,,"winter, spring, summer, fall",1,,
57,zalmfilet,salmon,"17, 27","fish, legumes, meat, egg, nuts, dairy",,,0,,
58,zoete aardappel,sweet potato,"12, 19",vegetables and fruit,,,1,,
59,zonnebloemolie,sunflower oil,"11, 18, 24, 28",fats,,,1,,